,zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount,response,coverage,effective to date,employmentstatus,location code,marital status,months since last claim,months since policy inception,number of policies,policy,renew offer type,sales channel,vehicle size,vehicle type
2300,north west,m,high school or below,3940.12,92539.0,100.0,0,corporate auto,suv,25.71,no,basic,2/3/11,employed,rural,single,1.0,55.0,1.0,corporate l3,offer2,branch,medsize,a
2301,west region,m,bachelor,8652.65,65605.0,111.0,2,corporate auto,two-door car,377.78,no,premium,2/1/11,employed,urban,married,2.0,72.0,7.0,corporate l2,offer3,branch,medsize,a
2302,west region,m,high school or below,5479.85,38210.0,69.0,0,personal auto,,383.04,no,basic,1/28/11,employed,suburban,married,25.0,41.0,3.0,personal l2,offer2,agent,,
2303,north west,f,high school or below,8608.16,21450.0,110.0,2,personal auto,sports car,528.0,no,basic,2/4/11,employed,suburban,divorced,8.0,80.0,3.0,personal l1,offer1,call center,small,a
2304,west region,f,high school or below,5074.25,66933.0,63.0,0,personal auto,four-door car,160.52,no,basic,2/27/11,employed,urban,married,8.0,0.0,6.0,personal l1,offer1,agent,medsize,a
2305,central,m,high school or below,11537.51,38144.0,86.0,1,corporate auto,two-door car,619.2,no,extended,1/21/11,unemployed,suburban,single,12.0,89.0,2.0,corporate l1,offer1,agent,medsize,a
2306,central,m,high school or below,3705.29,84493.0,92.0,0,personal auto,four-door car,441.6,no,extended,2/3/11,employed,suburban,married,29.0,19.0,1.0,personal l3,offer4,agent,small,
2307,central,m,bachelor,9942.3,67890.0,85.0,0,personal auto,,408.0,no,extended,1/19/11,employed,suburban,single,23.0,57.0,2.0,personal l2,offer4,agent,,a
2308,central,f,bachelor,7956.15,22699.0,74.0,4,personal auto,four-door car,355.2,no,basic,1/27/11,medical leave,suburban,married,11.0,76.0,2.0,personal l3,offer1,call center,medsize,
2309,central,f,bachelor,6451.26,30857.0,81.0,0,personal auto,two-door car,309.16,no,extended,1/13/11,employed,urban,married,17.0,14.0,7.0,personal l3,offer3,web,large,a
2310,central,m,high school or below,6715.59,21835.0,90.0,0,corporate auto,two-door car,432.0,no,extended,2/25/11,retired,suburban,married,6.0,78.0,7.0,corporate l2,offer1,agent,medsize,a
2311,north west,f,high school or below,3071.78,47528.0,77.0,1,personal auto,four-door car,277.58,no,extended,2/22/11,employed,urban,married,10.0,73.0,1.0,personal l3,offer2,agent,medsize,a
2312,north west,f,college,6753.43,44213.0,85.0,0,personal auto,four-door car,77.52,no,extended,2/27/11,employed,rural,single,15.0,58.0,3.0,personal l3,offer1,branch,medsize,a
2313,nan,f,college,8178.24,29057.0,102.0,0,corporate auto,suv,489.6,,basic,1/28/11,employed,suburban,married,22.0,24.0,3.0,corporate l3,offer2,agent,medsize,a
2314,central,f,bachelor,3871.07,38144.0,110.0,0,corporate auto,suv,528.0,no,basic,2/27/11,unemployed,suburban,single,8.0,76.0,1.0,corporate l2,offer1,agent,small,
2315,north west,f,college,3707.28,16476.0,101.0,0,personal auto,four-door car,313.89,no,premium,2/24/11,medical leave,urban,divorced,29.0,25.0,1.0,personal l3,offer1,web,medsize,
2316,north west,f,master,5181.62,97131.0,64.0,0,personal auto,four-door car,307.2,yes,basic,2/3/11,employed,suburban,married,5.0,80.0,6.0,personal l2,offer2,agent,small,a
2317,west region,m,bachelor,10623.41,38144.0,96.0,0,personal auto,four-door car,460.8,no,extended,1/23/11,unemployed,suburban,married,11.0,16.0,2.0,personal l3,offer2,agent,small,
2318,west region,m,high school or below,16973.74,69497.0,142.0,0,personal auto,suv,92.29,no,premium,2/7/11,employed,rural,married,30.0,31.0,2.0,personal l3,offer4,agent,medsize,
2319,east,m,bachelor,4458.11,17622.0,65.0,1,personal auto,four-door car,312.0,yes,basic,1/2/11,retired,suburban,divorced,1.0,36.0,3.0,personal l2,offer1,agent,medsize,a
2320,west region,f,high school or below,8036.45,38144.0,112.0,0,personal auto,sports car,806.4,no,basic,2/1/11,unemployed,suburban,single,7.0,42.0,9.0,personal l1,offer1,branch,medsize,a
2321,central,f,college,5365.93,62808.0,66.0,0,special auto,two-door car,211.52,no,basic,2/22/11,employed,urban,married,33.0,37.0,4.0,special l2,offer3,branch,medsize,a
2322,west region,f,college,4347.16,38223.0,112.0,2,personal auto,suv,537.6,no,basic,1/1/11,employed,suburban,married,27.0,18.0,1.0,personal l3,offer3,branch,medsize,a
2323,west region,m,bachelor,29706.78,38144.0,128.0,0,personal auto,suv,1345.32,no,extended,1/26/11,unemployed,suburban,single,15.0,37.0,2.0,personal l2,offer1,agent,medsize,a
2324,central,m,high school or below,5608.16,81914.0,70.0,0,corporate auto,four-door car,198.75,no,basic,2/17/11,employed,urban,married,6.0,33.0,6.0,corporate l2,offer4,branch,medsize,a
2325,west region,m,bachelor,5008.79,38144.0,73.0,0,corporate auto,two-door car,350.4,no,basic,1/16/11,unemployed,suburban,single,4.0,0.0,8.0,corporate l3,offer1,call center,medsize,
2326,north west,m,master,14616.37,25358.0,126.0,0,personal auto,,750.59,no,extended,1/5/11,employed,suburban,single,1.0,13.0,2.0,personal l1,offer4,branch,,
2327,north west,f,bachelor,8196.08,21706.0,108.0,0,personal auto,suv,518.4,no,basic,2/28/11,disabled,suburban,divorced,19.0,28.0,3.0,personal l3,offer1,agent,medsize,a
2328,nan,f,college,5830.56,38144.0,77.0,0,corporate auto,four-door car,783.43,,extended,1/13/11,unemployed,suburban,married,11.0,36.0,6.0,corporate l1,offer1,agent,medsize,
2329,north west,f,bachelor,28393.33,38772.0,90.0,0,personal auto,four-door car,321.87,no,extended,2/9/11,employed,urban,married,8.0,87.0,2.0,personal l1,offer1,branch,medsize,
2330,north west,f,bachelor,7188.61,38144.0,66.0,0,personal auto,four-door car,278.57,no,basic,1/27/11,unemployed,urban,married,15.0,24.0,2.0,personal l3,offer2,web,medsize,
2331,west region,f,bachelor,8609.16,79090.0,107.0,0,personal auto,suv,289.04,yes,basic,1/14/11,employed,urban,married,2.0,74.0,3.0,personal l3,offer2,branch,medsize,
2332,north west,m,bachelor,3545.41,38144.0,116.0,3,corporate auto,suv,835.2,no,basic,2/2/11,unemployed,suburban,single,23.0,14.0,1.0,corporate l2,offer2,call center,medsize,
2333,west region,f,master,6314.49,66947.0,78.0,0,personal auto,four-door car,374.4,no,extended,2/27/11,employed,suburban,married,13.0,12.0,6.0,personal l1,offer3,agent,small,
2334,east,f,doctor,8875.97,69205.0,110.0,0,personal auto,four-door car,372.36,no,premium,2/5/11,employed,urban,married,20.0,56.0,6.0,personal l3,offer2,web,medsize,a
2335,west region,m,bachelor,3054.54,38144.0,88.0,0,personal auto,four-door car,422.4,no,extended,2/25/11,unemployed,suburban,single,29.0,19.0,1.0,personal l1,offer2,agent,small,a
2336,north west,f,high school or below,3744.58,38144.0,101.0,0,personal auto,suv,727.2,no,basic,1/1/11,unemployed,suburban,single,3.0,32.0,1.0,personal l3,offer1,agent,small,a
2337,west region,m,bachelor,3013.44,21353.0,80.0,0,personal auto,four-door car,576.0,no,extended,2/20/11,disabled,suburban,divorced,28.0,21.0,1.0,personal l3,offer3,agent,medsize,
2338,central,f,college,11631.88,38144.0,152.0,0,personal auto,suv,1082.81,no,premium,1/6/11,unemployed,suburban,married,8.0,94.0,7.0,personal l3,offer1,branch,medsize,a
2339,north west,f,high school or below,9618.31,80536.0,119.0,0,special auto,sports car,53.8,no,basic,1/11/11,employed,rural,married,5.0,83.0,3.0,special l2,offer1,branch,medsize,
2340,west region,f,high school or below,11814.53,41004.0,102.0,3,personal auto,sports car,489.6,no,basic,2/21/11,employed,suburban,married,15.0,26.0,2.0,personal l3,offer1,call center,large,
2341,west region,m,college,2966.94,38144.0,81.0,0,personal auto,two-door car,388.8,no,extended,2/19/11,unemployed,suburban,married,14.0,75.0,1.0,personal l2,offer1,branch,medsize,a
2342,west region,f,bachelor,12101.21,38144.0,112.0,0,personal auto,sports car,1252.41,no,basic,2/4/11,unemployed,suburban,single,28.0,30.0,2.0,personal l2,offer2,agent,large,
2343,west region,f,bachelor,3289.13,21947.0,83.0,0,personal auto,four-door car,366.91,no,extended,2/26/11,employed,urban,married,17.0,66.0,1.0,personal l1,offer3,branch,medsize,
2344,east,m,college,13869.93,28432.0,118.0,0,corporate auto,suv,612.3,yes,basic,1/21/11,employed,suburban,married,1.0,59.0,2.0,corporate l3,offer2,branch,small,
2345,north west,f,master,6743.13,38144.0,61.0,0,corporate auto,two-door car,292.8,no,basic,1/11/11,unemployed,suburban,single,2.0,76.0,2.0,corporate l3,offer2,agent,small,a
2346,central,m,high school or below,7679.68,12677.0,101.0,0,personal auto,suv,500.63,no,basic,2/23/11,disabled,suburban,married,21.0,18.0,9.0,personal l3,offer1,call center,medsize,a
2347,central,f,bachelor,8444.84,76352.0,109.0,2,personal auto,suv,501.84,no,basic,2/7/11,employed,urban,single,17.0,9.0,4.0,personal l2,offer1,agent,small,a
2348,north west,m,college,8432.82,21052.0,111.0,0,corporate auto,suv,453.58,no,basic,2/26/11,disabled,urban,married,12.0,55.0,5.0,corporate l3,offer2,call center,medsize,
2349,west region,f,bachelor,3409.68,85023.0,85.0,0,personal auto,four-door car,408.0,no,extended,1/31/11,employed,suburban,married,4.0,69.0,1.0,personal l1,offer2,agent,medsize,
2350,east,m,bachelor,6186.27,37138.0,83.0,2,personal auto,two-door car,417.28,no,extended,2/18/11,employed,suburban,single,12.0,1.0,9.0,personal l3,offer1,call center,medsize,a
2351,central,f,doctor,7218.02,32312.0,61.0,3,personal auto,two-door car,276.59,no,basic,1/10/11,employed,urban,married,29.0,31.0,2.0,personal l2,offer3,call center,medsize,
2352,east,f,bachelor,3021.94,38144.0,84.0,0,personal auto,two-door car,700.73,no,extended,2/6/11,unemployed,suburban,single,26.0,37.0,1.0,personal l1,offer1,branch,medsize,
2353,central,m,high school or below,20534.39,38144.0,93.0,0,special auto,four-door car,669.6,no,extended,1/29/11,unemployed,suburban,single,24.0,25.0,2.0,special l3,offer3,agent,small,a
2354,west region,f,bachelor,9628.7,71269.0,80.0,0,personal auto,four-door car,350.69,no,extended,1/6/11,employed,urban,married,28.0,85.0,2.0,personal l2,offer1,branch,medsize,a
2355,nan,f,high school or below,4868.81,31447.0,121.0,0,personal auto,suv,580.8,,extended,2/20/11,employed,suburban,married,12.0,16.0,1.0,personal l3,offer1,web,large,
2356,west region,f,college,6273.91,18577.0,86.0,0,corporate auto,four-door car,412.8,yes,extended,2/16/11,retired,suburban,divorced,21.0,76.0,6.0,corporate l2,offer1,branch,medsize,a
2357,north west,m,bachelor,3339.76,38144.0,94.0,0,personal auto,two-door car,863.33,no,extended,1/15/11,unemployed,suburban,single,20.0,53.0,1.0,personal l3,offer1,agent,small,a
2358,central,m,bachelor,14567.27,38144.0,148.0,0,personal auto,suv,710.4,no,premium,1/12/11,unemployed,suburban,single,8.0,18.0,2.0,personal l2,offer1,agent,medsize,
2359,west region,f,college,9429.08,75638.0,83.0,4,personal auto,four-door car,108.7,no,extended,2/27/11,employed,rural,divorced,6.0,52.0,2.0,personal l3,offer4,agent,medsize,a
2360,central,m,master,8237.25,48866.0,103.0,0,personal auto,sports car,494.4,no,basic,2/28/11,employed,suburban,married,5.0,76.0,3.0,personal l1,offer3,web,medsize,
2361,central,f,bachelor,2867.31,23376.0,78.0,0,personal auto,four-door car,374.4,yes,extended,1/3/11,retired,suburban,divorced,19.0,18.0,1.0,personal l3,offer2,call center,medsize,
2362,central,f,bachelor,6446.92,43478.0,80.0,0,personal auto,four-door car,384.0,no,extended,1/1/11,employed,suburban,married,27.0,79.0,9.0,personal l1,offer1,branch,medsize,a
2363,north west,f,college,31920.77,58542.0,114.0,0,personal auto,suv,129.99,no,basic,1/28/11,employed,rural,married,29.0,82.0,2.0,personal l3,offer2,branch,medsize,a
2364,north west,m,bachelor,5032.39,30735.0,63.0,0,personal auto,two-door car,307.08,no,basic,1/10/11,employed,suburban,married,4.0,43.0,7.0,personal l3,offer1,agent,small,a
2365,nan,m,high school or below,2229.36,38144.0,61.0,0,personal auto,four-door car,292.8,,basic,2/26/11,unemployed,suburban,married,27.0,57.0,1.0,personal l3,offer2,call center,medsize,a
2366,north west,f,high school or below,7263.6,86732.0,180.0,0,personal auto,luxury suv,204.37,no,basic,2/22/11,employed,rural,married,0.0,95.0,1.0,personal l1,offer1,call center,medsize,a
2367,west region,m,doctor,7035.76,77235.0,87.0,0,personal auto,two-door car,310.16,no,extended,1/22/11,employed,urban,married,2.0,68.0,5.0,personal l3,offer2,branch,medsize,
2368,west region,f,bachelor,5893.37,86498.0,74.0,1,personal auto,two-door car,8.53,no,basic,1/22/11,employed,rural,married,13.0,13.0,5.0,personal l2,offer3,agent,medsize,a
2369,west region,f,high school or below,2480.39,38144.0,65.0,0,personal auto,four-door car,328.31,no,basic,1/3/11,unemployed,suburban,married,1.0,60.0,1.0,personal l1,offer1,web,medsize,
2370,north west,f,college,10213.56,39719.0,131.0,0,personal auto,sports car,628.8,no,extended,1/9/11,employed,suburban,divorced,1.0,57.0,3.0,personal l3,offer1,agent,medsize,a
2371,north west,f,college,10208.93,35482.0,129.0,0,personal auto,,619.2,yes,extended,2/14/11,employed,suburban,married,21.0,59.0,3.0,personal l1,offer1,branch,,
2372,north west,m,college,4763.33,14957.0,66.0,0,corporate auto,four-door car,316.8,no,basic,2/28/11,disabled,suburban,single,24.0,68.0,8.0,corporate l3,offer1,branch,small,
2373,west region,f,bachelor,8099.47,38144.0,112.0,0,personal auto,suv,438.81,no,basic,2/7/11,unemployed,urban,divorced,19.0,42.0,6.0,personal l3,offer1,branch,medsize,a
2374,west region,f,bachelor,7996.6,70061.0,99.0,0,corporate auto,four-door car,699.52,no,extended,2/28/11,employed,suburban,married,2.0,57.0,3.0,corporate l2,offer3,agent,small,a
2375,north west,f,college,21850.84,51056.0,78.0,0,personal auto,four-door car,95.82,no,extended,2/17/11,employed,rural,married,27.0,86.0,2.0,personal l1,offer3,branch,large,
2376,east,m,bachelor,2875.43,84768.0,72.0,0,personal auto,two-door car,110.48,no,basic,2/2/11,employed,rural,married,6.0,31.0,1.0,personal l3,offer4,agent,medsize,a
2377,central,m,high school or below,2374.15,48911.0,61.0,0,personal auto,two-door car,292.8,no,basic,2/6/11,employed,suburban,single,15.0,6.0,1.0,personal l2,offer3,call center,large,a
2378,west region,m,college,3508.57,20978.0,98.0,1,personal auto,four-door car,1176.28,yes,extended,1/5/11,medical leave,suburban,married,19.0,96.0,1.0,personal l1,offer2,branch,small,
2379,nan,m,college,6371.32,23797.0,81.0,0,personal auto,four-door car,388.8,,extended,1/4/11,employed,suburban,married,10.0,57.0,3.0,personal l2,offer2,web,medsize,a
2380,central,f,high school or below,6568.76,25876.0,83.0,0,personal auto,two-door car,398.4,no,extended,1/30/11,disabled,suburban,married,29.0,46.0,3.0,personal l3,offer1,branch,medsize,
2381,north west,f,high school or below,4314.07,38144.0,64.0,1,personal auto,four-door car,460.8,no,basic,2/10/11,unemployed,suburban,single,16.0,42.0,5.0,personal l3,offer1,call center,small,a
2382,west region,m,bachelor,2619.34,78618.0,66.0,0,personal auto,two-door car,225.58,yes,basic,2/5/11,employed,urban,divorced,7.0,56.0,1.0,personal l3,offer1,agent,medsize,
2383,central,f,doctor,3652.67,38144.0,95.0,0,personal auto,four-door car,456.0,no,extended,1/30/11,unemployed,suburban,married,22.0,80.0,1.0,personal l3,offer4,agent,medsize,
2384,north west,f,bachelor,17732.46,42191.0,74.0,1,special auto,two-door car,68.65,no,basic,2/14/11,employed,rural,married,2.0,43.0,2.0,special l2,offer1,call center,medsize,a
2385,west region,m,high school or below,9657.58,38144.0,131.0,0,personal auto,suv,628.8,yes,extended,1/31/11,unemployed,suburban,married,34.0,61.0,9.0,personal l2,offer1,agent,medsize,a
2386,central,m,college,2308.47,38144.0,68.0,0,corporate auto,four-door car,489.6,no,basic,2/23/11,unemployed,suburban,single,9.0,34.0,1.0,corporate l3,offer2,web,medsize,
2387,west region,f,doctor,2776.75,30893.0,70.0,0,corporate auto,four-door car,85.42,no,basic,1/8/11,employed,rural,divorced,25.0,13.0,1.0,corporate l2,offer3,branch,medsize,a
2388,central,f,college,20090.44,38144.0,66.0,1,corporate auto,four-door car,252.15,no,basic,1/11/11,unemployed,urban,single,16.0,19.0,2.0,corporate l3,offer1,agent,medsize,a
2389,east,f,high school or below,2829.86,25317.0,71.0,0,personal auto,two-door car,50.42,no,basic,2/19/11,employed,rural,married,15.0,97.0,1.0,personal l2,offer4,branch,medsize,
2390,central,f,bachelor,2359.42,19864.0,63.0,0,corporate auto,four-door car,352.39,yes,basic,1/11/11,disabled,suburban,divorced,22.0,96.0,1.0,corporate l3,offer1,web,medsize,
2391,west region,m,bachelor,36860.91,22854.0,122.0,0,special auto,sports car,878.4,no,extended,2/1/11,medical leave,suburban,married,28.0,53.0,2.0,special l2,offer1,branch,small,
2392,central,f,high school or below,3644.83,82477.0,90.0,0,personal auto,two-door car,432.0,yes,extended,1/15/11,employed,suburban,married,1.0,69.0,1.0,personal l1,offer2,agent,large,a
2393,west region,m,bachelor,5044.86,59292.0,64.0,0,corporate auto,,218.49,no,basic,1/24/11,employed,urban,married,14.0,92.0,4.0,corporate l3,offer2,call center,,a
2394,central,f,college,2775.08,29051.0,73.0,0,personal auto,two-door car,153.2,no,basic,1/22/11,disabled,rural,married,31.0,79.0,1.0,personal l3,offer1,agent,medsize,
2395,north west,f,high school or below,22093.62,24193.0,185.0,0,personal auto,sports car,785.37,no,premium,1/12/11,employed,urban,married,26.0,79.0,2.0,personal l3,offer1,branch,medsize,
2396,central,f,high school or below,8646.5,64125.0,108.0,0,personal auto,suv,369.82,yes,basic,1/2/11,employed,urban,married,3.0,44.0,3.0,personal l1,offer2,branch,large,
2397,north west,f,college,7708.88,71134.0,98.0,3,personal auto,two-door car,196.37,no,extended,1/5/11,employed,rural,married,21.0,95.0,8.0,personal l3,offer1,web,medsize,a
2398,central,f,high school or below,2702.38,46370.0,68.0,1,personal auto,two-door car,326.4,no,basic,2/3/11,employed,suburban,married,28.0,86.0,1.0,personal l1,offer2,web,medsize,a
2399,central,m,master,40224.01,48587.0,111.0,0,personal auto,suv,532.8,no,basic,2/7/11,employed,suburban,married,7.0,14.0,2.0,personal l2,offer1,branch,medsize,a
2400,central,m,high school or below,2833.8,45360.0,73.0,0,corporate auto,four-door car,350.4,no,basic,2/21/11,employed,suburban,divorced,16.0,71.0,1.0,corporate l1,offer2,branch,medsize,
2401,west region,f,bachelor,4726.87,13037.0,124.0,0,personal auto,suv,839.35,yes,extended,1/10/11,medical leave,suburban,married,28.0,49.0,1.0,personal l2,offer2,agent,small,a
2402,central,f,bachelor,6102.31,42800.0,153.0,1,personal auto,sports car,734.4,no,premium,2/18/11,employed,suburban,married,4.0,11.0,1.0,personal l3,offer1,call center,medsize,a
2403,central,m,bachelor,5395.43,44047.0,137.0,0,corporate auto,sports car,969.23,no,extended,2/21/11,employed,suburban,married,12.0,38.0,1.0,corporate l3,offer2,branch,medsize,
2404,nan,f,college,7399.03,38144.0,101.0,0,personal auto,suv,337.62,,basic,1/1/11,unemployed,urban,married,28.0,34.0,6.0,personal l2,offer1,web,medsize,
2405,central,f,college,8177.05,54695.0,103.0,0,personal auto,suv,494.4,no,basic,2/12/11,employed,suburban,married,6.0,94.0,5.0,personal l3,offer1,branch,medsize,
2406,west region,f,high school or below,2749.41,71445.0,70.0,2,personal auto,four-door car,336.0,no,basic,1/22/11,employed,suburban,single,6.0,95.0,1.0,personal l3,offer1,branch,medsize,a
2407,central,m,doctor,8042.8,55411.0,100.0,0,personal auto,sports car,259.56,no,basic,1/5/11,employed,urban,married,24.0,53.0,4.0,personal l2,offer2,web,medsize,
2408,north west,m,college,5785.22,31320.0,72.0,0,personal auto,four-door car,293.87,no,basic,1/24/11,employed,urban,married,30.0,95.0,5.0,personal l3,offer1,branch,medsize,
2409,central,f,bachelor,4531.68,38144.0,126.0,0,corporate auto,suv,907.2,no,extended,2/4/11,unemployed,suburban,single,19.0,39.0,1.0,corporate l3,offer4,call center,medsize,a
2410,central,f,college,5062.37,38144.0,72.0,0,personal auto,two-door car,345.6,no,basic,1/21/11,unemployed,suburban,single,22.0,58.0,5.0,personal l3,offer3,call center,large,
2411,west region,m,bachelor,8845.19,45600.0,113.0,0,personal auto,suv,617.94,no,basic,2/14/11,employed,suburban,married,6.0,96.0,3.0,personal l2,offer1,agent,medsize,
2412,west region,f,bachelor,15182.28,53863.0,63.0,0,personal auto,four-door car,105.77,no,basic,2/10/11,employed,rural,married,12.0,30.0,2.0,personal l2,offer1,web,large,a
2413,north west,f,bachelor,7851.35,32225.0,66.0,0,personal auto,four-door car,316.8,no,basic,2/2/11,employed,suburban,married,23.0,90.0,2.0,personal l1,offer3,agent,medsize,a
2414,east,m,doctor,5408.91,80192.0,67.0,0,personal auto,four-door car,95.19,no,basic,1/25/11,employed,rural,married,22.0,24.0,7.0,personal l3,offer2,agent,medsize,a
2415,west region,f,college,21240.94,38144.0,190.0,0,personal auto,luxury suv,1368.0,no,basic,1/7/11,unemployed,suburban,single,7.0,45.0,2.0,personal l2,offer2,agent,medsize,
2416,west region,f,master,2499.04,28264.0,63.0,0,corporate auto,two-door car,364.62,no,basic,1/27/11,employed,suburban,divorced,22.0,9.0,1.0,corporate l3,offer2,agent,small,a
2417,west region,m,high school or below,8485.33,32607.0,111.0,1,corporate auto,suv,532.8,no,basic,2/14/11,employed,suburban,single,27.0,79.0,8.0,corporate l3,offer2,branch,medsize,a
2418,west region,f,bachelor,2292.79,38144.0,64.0,0,personal auto,two-door car,460.8,no,basic,2/6/11,unemployed,suburban,single,18.0,30.0,1.0,personal l3,offer1,branch,medsize,a
2419,west region,m,bachelor,6843.85,38144.0,66.0,0,corporate auto,two-door car,478.51,no,basic,1/23/11,unemployed,suburban,single,18.0,21.0,2.0,corporate l2,offer2,web,medsize,a
2420,central,f,high school or below,2630.01,38144.0,78.0,1,corporate auto,four-door car,374.4,no,extended,2/23/11,unemployed,suburban,single,14.0,23.0,1.0,corporate l3,offer3,call center,medsize,
2421,west region,f,college,7928.83,38144.0,72.0,0,corporate auto,four-door car,345.6,no,basic,1/30/11,unemployed,suburban,married,7.0,75.0,2.0,corporate l3,offer1,call center,medsize,a
2422,central,m,bachelor,3982.27,38144.0,113.0,0,personal auto,suv,542.4,no,basic,1/5/11,unemployed,suburban,divorced,14.0,77.0,1.0,personal l3,offer3,branch,medsize,a
2423,west region,m,college,5551.4,36918.0,76.0,3,personal auto,two-door car,364.8,no,extended,2/22/11,employed,suburban,divorced,28.0,77.0,3.0,personal l1,offer1,branch,medsize,
2424,north west,m,college,15512.56,39794.0,133.0,0,corporate auto,suv,638.4,no,extended,2/19/11,employed,suburban,single,0.0,7.0,2.0,corporate l2,offer1,agent,small,a
2425,east,f,high school or below,2472.25,62006.0,61.0,0,personal auto,four-door car,292.8,no,basic,1/27/11,employed,suburban,married,31.0,96.0,1.0,personal l2,offer4,agent,large,a
2426,central,f,bachelor,5797.6,69276.0,74.0,2,personal auto,two-door car,201.33,no,basic,2/22/11,employed,urban,married,14.0,22.0,8.0,personal l3,offer4,web,medsize,
2427,central,m,bachelor,10934.74,47170.0,139.0,0,corporate auto,sports car,667.2,no,extended,2/13/11,employed,suburban,married,4.0,57.0,3.0,corporate l3,offer3,agent,medsize,
2428,central,f,bachelor,8084.85,60662.0,68.0,0,special auto,two-door car,326.4,no,basic,1/25/11,employed,suburban,divorced,10.0,38.0,2.0,special l1,offer2,web,medsize,a
2429,west region,m,high school or below,2993.12,23277.0,77.0,2,corporate auto,four-door car,369.6,no,extended,2/21/11,employed,suburban,married,14.0,68.0,1.0,corporate l1,offer1,branch,medsize,
2430,north west,f,bachelor,5701.28,41154.0,72.0,1,personal auto,four-door car,345.6,no,basic,1/16/11,employed,suburban,married,6.0,7.0,8.0,personal l2,offer2,agent,small,a
2431,central,m,bachelor,2409.76,59665.0,62.0,1,personal auto,two-door car,167.14,no,basic,2/28/11,employed,urban,single,33.0,3.0,1.0,personal l3,offer1,agent,medsize,a
2432,nan,m,high school or below,25805.27,22711.0,82.0,0,personal auto,two-door car,393.6,,extended,2/6/11,employed,suburban,married,8.0,74.0,2.0,personal l2,offer2,branch,medsize,a
2433,north west,m,college,38445.86,27398.0,125.0,1,personal auto,,600.0,no,extended,1/29/11,employed,suburban,married,4.0,71.0,2.0,personal l1,offer4,call center,,a
2434,central,m,bachelor,8072.75,30584.0,68.0,0,personal auto,two-door car,51.66,no,basic,1/15/11,employed,rural,married,10.0,37.0,2.0,personal l2,offer3,branch,medsize,a
2435,north west,f,high school or below,2899.32,33738.0,74.0,1,corporate auto,four-door car,304.39,no,basic,1/2/11,employed,urban,divorced,6.0,50.0,1.0,corporate l1,offer2,agent,medsize,a
2436,west region,m,high school or below,2877.35,32807.0,73.0,0,personal auto,,350.4,no,basic,1/30/11,employed,suburban,married,10.0,10.0,1.0,personal l2,offer2,call center,,a
2437,west region,m,bachelor,8010.97,52009.0,68.0,0,personal auto,four-door car,250.42,no,basic,1/27/11,employed,urban,married,20.0,29.0,2.0,personal l3,offer1,agent,medsize,a
2438,east,f,doctor,2678.06,72450.0,66.0,0,corporate auto,four-door car,84.22,no,basic,1/20/11,employed,rural,married,21.0,58.0,1.0,corporate l3,offer4,branch,medsize,a
2439,west region,m,bachelor,3329.89,75556.0,84.0,0,corporate auto,four-door car,498.93,no,extended,2/17/11,employed,suburban,married,24.0,78.0,1.0,corporate l3,offer2,agent,small,a
2440,west region,m,high school or below,6782.56,26116.0,85.0,0,personal auto,four-door car,612.0,no,extended,2/22/11,employed,suburban,married,6.0,58.0,3.0,personal l3,offer4,agent,medsize,a
2441,north west,m,master,5175.29,38144.0,71.0,0,personal auto,four-door car,340.8,no,basic,1/28/11,unemployed,suburban,married,0.0,26.0,9.0,personal l3,offer1,agent,small,
2442,west region,f,bachelor,7690.16,55843.0,64.0,0,corporate auto,two-door car,307.2,no,basic,1/12/11,employed,suburban,married,3.0,80.0,2.0,corporate l3,offer1,call center,medsize,
2443,central,m,college,5113.87,94415.0,127.0,1,personal auto,sports car,492.77,no,extended,1/23/11,employed,urban,married,6.0,53.0,1.0,personal l1,offer1,branch,medsize,
2444,west region,m,master,2570.76,38144.0,72.0,3,personal auto,two-door car,345.6,no,basic,1/1/11,unemployed,suburban,married,0.0,93.0,1.0,personal l3,offer4,call center,small,a
2445,nan,f,master,4059.57,11621.0,108.0,0,personal auto,four-door car,518.4,,premium,2/28/11,disabled,suburban,divorced,4.0,98.0,1.0,personal l1,offer1,agent,medsize,
2446,north west,m,college,4692.1,38144.0,69.0,0,personal auto,four-door car,506.92,no,basic,1/3/11,unemployed,suburban,single,31.0,89.0,5.0,personal l2,offer1,agent,large,a
2447,west region,f,high school or below,5595.39,74454.0,71.0,0,personal auto,four-door car,340.8,yes,basic,2/5/11,employed,suburban,single,25.0,29.0,3.0,personal l3,offer2,call center,medsize,a
2448,north west,m,bachelor,3703.93,21975.0,95.0,0,corporate auto,four-door car,456.0,no,extended,2/5/11,employed,suburban,divorced,28.0,63.0,1.0,corporate l1,offer4,agent,large,
2449,central,m,high school or below,5639.94,73168.0,70.0,0,corporate auto,four-door car,425.8,yes,basic,1/10/11,employed,suburban,married,21.0,50.0,3.0,corporate l2,offer2,agent,medsize,
2450,central,m,high school or below,5363.41,64324.0,67.0,0,personal auto,four-door car,321.6,no,basic,2/14/11,employed,suburban,married,7.0,67.0,3.0,personal l2,offer3,branch,small,a
2451,west region,m,college,7704.25,49088.0,97.0,0,corporate auto,four-door car,698.4,no,extended,2/9/11,employed,suburban,married,4.0,46.0,3.0,corporate l3,offer4,branch,small,
